City,Area,Bedrooms,Price
Hyderabad,1128.0,3.0,87.14
Kolkata,1017.0,4.0,87.88
Pune,1389.0,1.0,84.84
Chennai,1473.0,2.0,79.83
Hyderabad,777.0,3.0,92.48
Ahmedabad,1175.0,1.0,62.77
Lucknow,1179.0,2.0,60.86
Hyderabad,711.0,2.0,69.86
Pune,993.0,4.0,91.97
Chennai,1649.0,1.0,76.17
Kolkata,1644.0,4.0,92.09
Pune,648.0,3.0,73.26
Pune,1488.0,2.0,89.98
Lucknow,711.0,2.0,48.99
Bangalore,1139.0,5.0,108.54
Chennai,1261.0,3.0,84.38
Mumbai,1601.0,2.0,109.7
Pune,1230.0,1.0,79.64
Bangalore,894.0,2.0,89.59
Mumbai,826.0,3.0,110.05
Chennai,1367.0,3.0,85.29
Delhi,1046.0,3.0,84.64
Ahmedabad,1136.0,4.0,83.03
Bangalore,1688.0,2.0,95.77
Jaipur,1473.0,1.0,69.1
Delhi,1934.0,3.0,94.57
Ahmedabad,892.0,3.0,65.92
Lucknow,1016.0,5.0,76.77
Hyderabad,1373.0,3.0,82.12
Kolkata,2027.0,2.0,80.33
Jaipur,982.0,2.0,67.42
Lucknow,1315.0,2.0,60.22
Chennai,1828.0,3.0,95.03
Lucknow,1319.0,3.0,58.5
Hyderabad,1708.0,3.0,83.22
Chennai,2082.0,2.0,91.59
Jaipur,1418.0,4.0,76.89
Hyderabad,1483.0,1.0,75.64
Mumbai,1597.0,1.0,94.46
Kolkata,938.0,2.0,74.91
Jaipur,707.0,3.0,75.65
Mumbai,1363.0,3.0,109.35
Ahmedabad,1049.0,,
Jaipur,1721.0,3.0,79.69
Ahmedabad,1425.0,1.0,58.89
Chennai,1714.0,2.0,90.87
Mumbai,819.0,3.0,113.32
Kolkata,1700.0,2.0,77.51
Hyderabad,380.0,2.0,74.54
Pune,852.0,1.0,73.44
Lucknow,1552.0,2.0,69.92
Delhi,1098.0,4.0,97.89
Kolkata,1137.0,4.0,81.23
Mumbai,1342.0,4.0,120.03
Pune,1868.0,1.0,87.43
Kolkata,531.0,5.0,81.8
Mumbai,,3.0,
Bangalore,1822.0,4.0,102.45
Bangalore,1098.0,4.0,101.09
Ahmedabad,1022.0,3.0,74.04
Kolkata,1252.0,1.0,63.36
Bangalore,1013.0,3.0,94.9
Mumbai,1437.0,2.0,100.79
Ahmedabad,1490.0,2.0,69.18
Mumbai,678.0,2.0,95.31
Ahmedabad,931.0,3.0,77.44
Kolkata,825.0,1.0,79.06
Pune,1385.0,4.0,91.34
Hyderabad,1648.0,2.0,84.29
Jaipur,870.0,3.0,65.28
Pune,1646.0,1.0,86.21
Chennai,930.0,4.0,86.67
Mumbai,1587.0,3.0,114.0
Chennai,1186.0,,
Pune,1123.0,3.0,84.1
Ahmedabad,1756.0,1.0,73.96
Jaipur,2015.0,3.0,85.51
Jaipur,523.0,2.0,62.13
Delhi,1539.0,1.0,83.71
Jaipur,1370.0,3.0,76.9
Hyderabad,1563.0,2.0,88.43
Jaipur,724.0,3.0,69.59
Pune,866.0,3.0,84.31
Delhi,1031.0,3.0,86.02
Pune,1385.0,4.0,94.08
Pune,1006.0,,
Lucknow,1170.0,2.0,64.29
Delhi,1632.0,4.0,103.01
Pune,2119.0,4.0,99.95
Lucknow,1603.0,3.0,74.69
Lucknow,1643.0,4.0,78.89
Delhi,1227.0,5.0,106.65
Chennai,943.0,2.0,83.66
Ahmedabad,1169.0,2.0,73.91
Hyderabad,1276.0,2.0,85.34
Ahmedabad,835.0,5.0,80.78
Jaipur,1626.0,1.0,85.18
Hyderabad,1907.0,3.0,91.09
Jaipur,1348.0,4.0,83.24
Pune,1733.0,5.0,112.83
Mumbai,1783.0,3.0,113.95
Delhi,886.0,2.0,84.41
Hyderabad,604.0,2.0,78.92
Hyderabad,1100.0,5.0,83.82
Pune,1338.0,4.0,95.16
Chennai,821.0,4.0,90.25
Lucknow,1868.0,4.0,83.82
Pune,2079.0,1.0,84.51
Bangalore,1371.0,3.0,102.78
Lucknow,907.0,2.0,58.93
Delhi,1494.0,3.0,105.88
Lucknow,906.0,1.0,58.6
Chennai,1757.0,2.0,100.67
Lucknow,1207.0,4.0,70.21
Delhi,1590.0,3.0,91.18
Chennai,1660.0,5.0,98.35
Ahmedabad,1515.0,3.0,71.27
Hyderabad,2014.0,2.0,85.37
Hyderabad,1371.0,3.0,90.44
Jaipur,1098.0,4.0,72.63
Ahmedabad,459.0,3.0,68.09
Ahmedabad,386.0,4.0,71.19
Lucknow,1560.0,1.0,54.66
Hyderabad,1226.0,2.0,92.04
Delhi,973.0,4.0,93.38
Kolkata,854.0,1.0,73.49
Kolkata,1596.0,3.0,87.6
Chennai,,2.0,
Hyderabad,1952.0,3.0,87.38
Hyderabad,2240.0,2.0,91.19
Kolkata,939.0,3.0,76.62
Hyderabad,1567.0,5.0,104.96
Lucknow,1476.0,2.0,54.79
Bangalore,,2.0,
Mumbai,907.0,1.0,91.95
Ahmedabad,1250.0,2.0,60.81
Jaipur,844.0,2.0,60.78
Chennai,1736.0,3.0,94.72
Bangalore,1201.0,2.0,89.85
Kolkata,,2.0,
Ahmedabad,1264.0,3.0,83.93
Hyderabad,,4.0,
Jaipur,1010.0,2.0,61.6
Hyderabad,502.0,,
Delhi,1350.0,3.0,92.61
Delhi,813.0,1.0,70.81
Jaipur,982.0,3.0,62.55
Jaipur,1487.0,3.0,74.96
Kolkata,1064.0,3.0,85.94
Jaipur,1243.0,1.0,59.05
Lucknow,1881.0,4.0,78.22
Hyderabad,1159.0,1.0,75.67
Bangalore,2108.0,2.0,88.14
Pune,1595.0,3.0,95.64
Jaipur,927.0,,
Chennai,1109.0,1.0,80.73
Delhi,,3.0,
Lucknow,1554.0,3.0,70.83
Ahmedabad,1829.0,2.0,77.2
Pune,1156.0,3.0,93.91
Bangalore,555.0,4.0,96.12
Pune,1444.0,5.0,105.44
Jaipur,955.0,2.0,64.58
Kolkata,1015.0,3.0,86.42
Delhi,1424.0,2.0,88.06
Delhi,1792.0,4.0,109.71
Ahmedabad,1595.0,4.0,77.27
Kolkata,1471.0,2.0,81.28
Hyderabad,1237.0,3.0,91.57
Mumbai,771.0,4.0,110.17
Lucknow,1439.0,3.0,71.78
Delhi,1587.0,3.0,98.87
Chennai,1061.0,4.0,91.26
Delhi,1153.0,4.0,95.16
Pune,1744.0,3.0,97.13
Delhi,1143.0,4.0,99.68
Delhi,1191.0,3.0,88.31
Mumbai,1264.0,2.0,106.18
Mumbai,1566.0,3.0,110.38
Bangalore,1417.0,2.0,89.83
Hyderabad,1387.0,2.0,87.4
Chennai,,4.0,
Delhi,1136.0,5.0,106.67
Delhi,919.0,,
Lucknow,1708.0,2.0,74.55
Mumbai,1392.0,2.0,103.96
Chennai,1064.0,,
Ahmedabad,1156.0,4.0,75.81
Bangalore,790.0,5.0,106.19
Hyderabad,1392.0,2.0,85.27
Kolkata,715.0,4.0,81.25
Hyderabad,1572.0,4.0,89.0
Pune,1091.0,1.0,81.31
Delhi,742.0,2.0,87.97
Bangalore,1738.0,4.0,101.78
Pune,2202.0,2.0,94.43
Chennai,1474.0,2.0,87.69
Kolkata,,2.0,
Mumbai,915.0,2.0,106.93
Bangalore,1404.0,2.0,99.21
Bangalore,1554.0,1.0,94.17
Delhi,1302.0,2.0,90.1
Jaipur,1658.0,4.0,78.68
Bangalore,1905.0,1.0,92.76
Lucknow,796.0,,
Kolkata,1417.0,2.0,76.12
Kolkata,538.0,3.0,77.73
Lucknow,974.0,2.0,60.85
Ahmedabad,1587.0,2.0,71.38
Lucknow,1281.0,1.0,58.78
Lucknow,655.0,4.0,69.76
Kolkata,1719.0,3.0,82.97
Hyderabad,1082.0,2.0,86.48
Kolkata,1640.0,4.0,91.2
Jaipur,1505.0,1.0,66.1
Delhi,966.0,2.0,83.67
Pune,1647.0,3.0,94.52
Hyderabad,1427.0,3.0,77.68
Mumbai,,3.0,
Pune,1112.0,2.0,79.07
Delhi,858.0,3.0,90.12
Jaipur,1132.0,2.0,65.86
Jaipur,1123.0,1.0,56.67
Mumbai,1640.0,3.0,108.06
Hyderabad,640.0,4.0,82.08
Ahmedabad,1888.0,2.0,78.69
Lucknow,,,
Hyderabad,1043.0,3.0,77.84
Ahmedabad,1860.0,4.0,92.12
Jaipur,897.0,2.0,66.18
Kolkata,1750.0,3.0,85.7
Delhi,972.0,3.0,87.38
Mumbai,1713.0,2.0,108.92
Delhi,725.0,2.0,86.29
Chennai,1733.0,2.0,95.51
Chennai,1815.0,4.0,99.24
Hyderabad,712.0,3.0,87.01
Jaipur,2002.0,2.0,80.57
Jaipur,,2.0,
Lucknow,500.0,3.0,60.93
Lucknow,1104.0,3.0,67.18
Lucknow,1715.0,2.0,71.44
Kolkata,1589.0,2.0,79.49
Pune,1344.0,4.0,104.03
Bangalore,1671.0,1.0,95.73
Pune,950.0,2.0,74.7
Delhi,1318.0,3.0,90.25
Pune,961.0,3.0,90.5
Kolkata,,3.0,
Delhi,1700.0,2.0,99.33
Pune,1612.0,5.0,103.76
Kolkata,1389.0,1.0,74.93
Bangalore,1695.0,2.0,98.44
Pune,1735.0,3.0,100.88
Kolkata,2018.0,2.0,80.58
Lucknow,1766.0,3.0,76.76
Jaipur,1562.0,2.0,79.67
Lucknow,1673.0,2.0,71.17
Jaipur,1397.0,2.0,67.28
Mumbai,1188.0,3.0,108.56
Mumbai,1647.0,4.0,121.83
Mumbai,1602.0,2.0,102.84
Bangalore,1416.0,5.0,105.9
Lucknow,1222.0,4.0,58.45
Jaipur,1199.0,1.0,69.22
Kolkata,1136.0,4.0,90.16
Delhi,1802.0,3.0,101.6
Kolkata,1771.0,4.0,90.62
Delhi,1754.0,4.0,95.82
Chennai,879.0,4.0,84.97
Kolkata,1156.0,2.0,71.69
Pune,1197.0,3.0,95.9
Pune,1057.0,2.0,72.19
Hyderabad,2045.0,2.0,88.84
Lucknow,1460.0,2.0,64.59
Delhi,1431.0,2.0,95.2
Delhi,1113.0,4.0,90.17
Lucknow,1644.0,4.0,67.72
Bangalore,2176.0,5.0,131.9
Hyderabad,1332.0,2.0,83.4
Bangalore,1206.0,3.0,91.19
Bangalore,1263.0,3.0,100.79
Bangalore,1171.0,2.0,84.08
Lucknow,1298.0,2.0,63.61
Bangalore,1055.0,2.0,99.61
Pune,945.0,5.0,90.4
Mumbai,1291.0,5.0,120.1
Chennai,1332.0,4.0,91.81
Delhi,1190.0,2.0,81.73
Delhi,1882.0,2.0,88.38
Chennai,,4.0,
Lucknow,1596.0,2.0,69.55
Kolkata,1607.0,3.0,85.0
Lucknow,1341.0,2.0,58.04
Delhi,1387.0,5.0,103.55
